data	real	referencia	mercado	abs_dif_referencia	abs_dif_mercado	pot_dif_referencia	pot_dif_mercado
set-16	8,5	5,8	5,8	2,7	2,7	7,2	7,2
jun-16	8,8	5,4	5,5	3,4	3,3	11,9	11,2
mar-16	9,4	5,9	5,8	3,5	3,6	12,2	12,9
dez-15	10,7	6,1	6,0	4,6	4,7	20,9	21,8
set-15	9,5	5,8	6,1	3,7	3,4	13,6	11,5
jun-15	8,9	5,9	6,2	3,0	2,7	9,0	7,3
mar-15	8,1	6,0	6,1	2,1	2,0	4,5	4,1
dez-14	6,4	5,6	5,6	0,8	0,8	0,7	0,7
set-14	6,7	5,8	5,8	0,9	0,9	0,9	0,9
jun-14	6,5	5,4	5,2	1,1	1,3	1,3	1,8
mar-14	6,2	5,4	5,4	0,8	0,8	0,6	0,6
dez-13	5,9	4,8	4,9	1,1	1,0	1,2	1,0
set-13	5,9	4,6	4,5	1,3	1,4	1,6	1,8
jun-13	6,7	5,0	4,9	1,7	1,8	2,9	3,2
mar-13	6,6	4,9	5,0	1,7	1,6	2,9	2,5
dez-12	5,8	4,7	4,8	1,1	1,0	1,3	1,1
set-12	5,3	4,7	4,8	0,6	0,5	0,3	0,2
jun-12	4,9	4,6	4,6	0,3	0,3	0,1	0,1
mar-12	5,2	4,8	4,8	0,4	0,4	0,2	0,2
dez-11	6,5	5,0	4,8	1,5	1,7	2,3	2,9
set-11	7,3	4,7	4,7	2,6	2,6	6,8	6,8
jun-11	6,7	4,8	4,6	1,9	2,1	3,7	4,5
mar-11	6,3	4,7	4,5	1,6	1,8	2,6	3,2
dez-10	5,9	4,6	4,5	1,3	1,4	1,7	2,0
set-10	4,7	4,0	3,9	0,7	0,8	0,5	0,6
jun-10	4,8	3,5	3,7	1,3	1,1	1,8	1,3
mar-10	5,2	4,3	4,4	0,9	0,8	0,8	0,6
dez-09	4,3	4,7	4,5	0,4	0,2	0,2	0,0
set-09	4,3	4,9	4,7	0,6	0,4	0,3	0,1
jun-09	4,8	4,8	4,9	0,0	0,1	0,0	0,0
mar-09	5,6	4,3	4,5	1,3	1,1	1,7	1,2
dez-08	5,9	4,3	4,3	1,6	1,6	2,6	2,6
set-08	6,3	4,1	4,0	2,2	2,3	4,6	5,1
jun-08	6,1	3,6	3,8	2,5	2,3	6,1	5,1
mar-08	4,7	3,8	4,0	0,9	0,7	0,9	0,5
dez-07	4,5	3,9	4,3	0,6	0,2	0,3	0,0
set-07	4,1	4,2	4,9	0,1	0,8	0,0	0,6
jun-07	3,7	3,9	4,6	0,2	0,9	0,0	0,8
mar-07	3,0	3,2	4,2	0,2	1,2	0,1	1,5
dez-06	3,1	3,8	4,9	0,7	1,8	0,4	3,1
set-06	3,7	3,6	4,9	0,1	1,2	0,0	1,4
jun-06	4,0	4,6	5,4	0,6	1,4	0,3	1,9
mar-06	5,3	5,0	5,6	0,3	0,3	0,1	0,1
dez-05	5,7	5,3	6,3	0,4	0,6	0,2	0,4
set-05	6,0	6,0	6,8	0,0	0,8	0,0	0,6
jun-05	7,3	4,8	5,3	2,5	2,0	6,1	3,9
mar-05	7,5	4,7	6,0	2,8	1,5	8,0	2,4
dez-04	7,6	4,5	5,8	3,1	1,8	9,6	3,2
set-04	6,7	3,8	5,4	2,9	1,3	8,4	1,7
jun-04	6,1	4,8	6,2	1,3	0,1	1,6	0,0
mar-04	5,9	6,7	5,4	0,8	0,5	0,7	0,2
